code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
DNK,-0.00069511,-0.0015954,-0.0015811,-0.00032446,-0.0026682,-0.001576,-0.00044937,-0.0027493,-0.0057784,-0.0045743,-0.0039486,-0.00072958,-0.00089967,-0.000045413,-0.00072896,-0.0021227,-0.00070039,-0.00092303,-0.0017971,-0.0012232,-0.0015946,-0.00011111
CAN,0.32893,0.35751,0.17763,0.35777,0.21734,0.44776,0.33328,0.1839,-0.056808,-0.019974,0.18384,0.15382,0.076313,0.096836,0.0092652,-0.022542,0.21303,0.18087,0.31632,0.11181,0.014544,0.2466
NOR,-0.00043835,-0.00049854,-0.00051736,-0.00047615,-0.00055823,-0.00052297,-0.0005115,-0.00062237,-0.0007265,-0.00071101,-0.00055706,-0.00068251,-0.00070162,-0.00068558,-0.00074216,-0.00057022,-0.00071111,-0.00053603,-0.00056222,-0.00046691,-0.00050575,-0.00041576
RUS,0.52711,0.164,0.20158,-0.051006,-0.2046,0.042242,0.070099,-0.25528,-0.088796,-0.19697,-0.10814,-0.20295,-0.025734,-0.032938,0.24968,0.14249,0.01338,0.072412,0.14678,0.016324,-0.0080325,0.25197
USA,1.3879,1.5393,1.341,1.5434,1.4364,1.3395,1.2592,0.98061,1.0164,0.87749,0.9726,1.041,1.0819,1.1435,1.039,0.97559,0.84574,0.9077,0.88937,1.2382,1.0985,0.77826
NOR,0.0094812,0.0060252,0.0098061,0.009628,0.0035602,-0.0001183,0.0023377,0.018152,-0.00027035,-0.011294,0.003852,-0.0035633,-0.012715,0.0030006,-0.0088373,-0.0086607,-0.013229,0.0066977,0.0093288,0.012313,0.0077308,0.01521
FIN,0.0062016,0.0049639,0.0037935,0.0067582,0.0021287,0.0041155,0.0044354,0.0076459,-0.0016909,-0.013978,0.0038066,-0.0030405,-0.016885,-0.0043911,-0.017137,-0.0063612,-0.015962,-0.0010889,0.0085236,0.0078031,0.0047661,0.0079721
SWE,0.015684,0.012091,0.016315,0.015878,0.0064584,0.0021634,0.0065844,0.03716,-0.0014886,-0.0037304,0.040215,0.016242,-0.0087542,0.018392,-0.0039383,-0.0028869,-0.016643,0.019357,0.028515,0.034455,0.02762,0.038118
ISL,0.00013169,-0.00033773,0.00023803,0.00037419,-0.0013058,-0.0018008,-0.00080427,-0.00086702,-0.0015976,-0.00083963,-0.0022919,-0.00027602,0.00035394,0.00023139,-0.000088175,0.000011026,0.00047738,0.00051244,0.0004328,0.00042855,-0.00021522,0.0010004
DNK,0.000092509,0.000010739,0.00014515,0.00017204,-0.00014426,-0.00029351,-0.000083033,-0.000066044,-0.00016753,-0.000075366,-0.00049507,0.000032179,0.00016937,0.00013406,0.000067659,0.00010301,0.00015504,0.00017215,0.00018851,0.00019647,0.000062632,0.00028746
GBR,0.089743,0.0788,0.090732,0.061237,0.073461,0.076107,0.070414,0.064096,0.070962,0.082887,0.039023,0.071186,0.059736,0.054241,0.058849,0.05517,0.053097,0.066548,0.071598,0.072824,0.059109,0.085269
EST,0.0026778,0.0024472,0.002405,0.0036495,0.0013239,0.0019658,0.0035257,0.0023528,0.0018065,-0.000003542,0.0055379,0.0030844,-0.0014622,0.0030778,-0.00061861,-0.00010686,-0.0026552,0.00058052,0.0044961,0.0041883,0.002848,0.0039704
LVA,0.0028055,0.0030151,0.0041116,0.005522,0.0018838,0.0023698,0.0055894,0.0057953,0.0033159,0.003946,0.012581,0.0089022,0.00251,0.0078222,0.0030861,0.0015294,-0.00067163,0.0025285,0.0068508,0.0075979,0.006008,0.0070264
DNK,0.010451,0.011008,0.0088539,0.01059,0.0097717,0.0091132,0.0096387,0.01193,0.0088343,0.012675,0.011362,0.010942,0.010915,0.0099654,0.010734,0.0093235,0.0085201,0.010897,0.010816,0.009733,0.010346,0.010259
