code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
DNK,-0.00069511,-0.0015954,-0.0015811,-0.00032446,-0.0026682,-0.001576,-0.00044937,-0.0027493,-0.0057784,-0.0045743,-0.0039486,-0.00072958,-0.00089967,-0.000045413,-0.00072896,-0.0021227,-0.00070039,-0.00092303,-0.0017971,-0.0012232,-0.0015946,-0.00011111
CAN,0.33249,0.36151,0.18062,0.36142,0.21971,0.45129,0.33657,0.18655,-0.054518,-0.016625,0.18749,0.15637,0.078536,0.0986,0.011011,-0.020828,0.21511,0.18354,0.31946,0.11436,0.017039,0.24916
NOR,-0.00043835,-0.00049854,-0.00051736,-0.00047615,-0.00055823,-0.00052297,-0.0005115,-0.00062237,-0.0007265,-0.00071101,-0.00055706,-0.00068251,-0.00070162,-0.00068558,-0.00074216,-0.00057022,-0.00071111,-0.00053603,-0.00056222,-0.00046691,-0.00050575,-0.00041576
RUS,0.5254,0.16221,0.19981,-0.052579,-0.20646,0.04014,0.067979,-0.25927,-0.091357,-0.19977,-0.10999,-0.20473,-0.027903,-0.034234,0.24696,0.14003,0.011151,0.06991,0.14441,0.013638,-0.010103,0.2498
USA,1.3843,1.5353,1.338,1.5397,1.4341,1.336,1.256,0.97796,1.0141,0.87414,0.96895,1.0385,1.0797,1.1417,1.0373,0.97388,0.84367,0.90503,0.88623,1.2357,1.096,0.7757
NOR,0.0094731,0.0060345,0.0097897,0.0096185,0.0035728,-0.000074588,0.002373,0.01806,-0.00023463,-0.011213,0.0038179,-0.0035209,-0.012623,0.0029736,-0.0087845,-0.0085803,-0.013127,0.0066841,0.0093148,0.012269,0.0077081,0.015145
FIN,0.0061575,0.0049605,0.0037821,0.0067066,0.0021433,0.0040866,0.0044199,0.0076726,-0.0016521,-0.013804,0.0037711,-0.0029796,-0.016635,-0.0043458,-0.016851,-0.0062388,-0.015703,-0.00097975,0.0084551,0.0077466,0.0047537,0.007906
SWE,0.015697,0.012088,0.016336,0.015893,0.0064496,0.0021235,0.0065543,0.037256,-0.0015195,-0.0037837,0.040277,0.016226,-0.008821,0.018439,-0.0039692,-0.002949,-0.01673,0.019385,0.028544,0.034513,0.027657,0.038198
ISL,0.00013169,-0.00033773,0.00023803,0.00037419,-0.0013058,-0.0018008,-0.00080427,-0.00086702,-0.0015976,-0.00083963,-0.0022919,-0.00027602,0.00035394,0.00023139,-0.000088175,0.000011026,0.00047738,0.00051244,0.0004328,0.00042855,-0.00021522,0.0010004
DNK,0.000092509,0.000010739,0.00014515,0.00017204,-0.00014426,-0.00029351,-0.000083033,-0.000066044,-0.00016753,-0.000075366,-0.00049507,0.000032179,0.00016937,0.00013406,0.000067659,0.00010301,0.00015504,0.00017215,0.00018851,0.00019647,0.000062632,0.00028746
GBR,0.089738,0.078791,0.090731,0.061238,0.073478,0.076114,0.070428,0.064098,0.070974,0.082902,0.039038,0.071204,0.059748,0.054246,0.058854,0.055175,0.053107,0.06656,0.071608,0.072836,0.059115,0.085281
