code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DNK,0.00082749,0.00082848,0.00082723,0.00082882,0.00081865,0.00081954,0.00081326,0.00089537,0.00090361,0.00091419,0.00092876,0.00094343,0.00094676,0.0010249,0.0010286,0.0010494,0.0010453,0.0010449,0.0010415,0.0010386,0.0010233,0.00096857
CAN,0.15001,0.14448,0.15651,0.16394,0.14033,0.13182,0.12659,0.12864,0.1366,0.11544,0.12457,0.13095,0.13036,0.11552,0.11467,0.13115,0.12289,0.11986,0.13474,0.14073,0.13821,0.14109
NOR,0.000017917,0.000017798,0.000017764,0.000017861,0.000017905,0.000018057,0.000017497,0.000017657,0.000018816,0.000019176,0.000020373,0.000021089,0.000021302,0.0000201,0.000020054,0.000020679,0.000020726,0.000020709,0.000020655,0.000020651,0.00002062,0.000020589
RUS,0.48237,0.48148,0.44171,0.4098,0.36333,0.42108,0.34337,0.36282,0.51686,0.29951,0.34866,0.35087,0.32897,0.43903,0.3451,0.34519,0.40702,0.39824,0.38414,0.41387,0.42067,0.44683
USA,1.1258,1.2211,1.1659,0.93409,0.88324,1.0941,0.86957,0.75544,0.74467,0.74143,0.79863,0.79765,0.9371,0.66619,0.66969,0.75437,0.6975,0.6976,0.68223,0.86196,0.84081,0.85635
NOR,0.010598,0.011128,0.01203,0.0095376,0.010071,0.0097762,0.0096905,0.011556,0.011233,0.0098183,0.0095722,0.01061,0.0095986,0.0092819,0.0078228,0.0074195,0.0077041,0.0076963,0.0084341,0.0089604,0.009402,0.0094022
FIN,0.014526,0.014081,0.016516,0.012597,0.014592,0.01284,0.014012,0.016822,0.017282,0.015569,0.014789,0.016454,0.013436,0.012061,0.012849,0.010868,0.011509,0.011188,0.015591,0.011718,0.014018,0.014077
SWE,0.01917,0.019419,0.021533,0.016341,0.018319,0.01759,0.016303,0.019584,0.018891,0.015583,0.014793,0.017904,0.017064,0.01622,0.015172,0.014253,0.01647,0.015027,0.016864,0.01643,0.018869,0.019447
ISL,0.00028667,0.00029568,0.00027962,0.00029726,0.00029591,0.00029463,0.0003176,0.00033871,0.0003415,0.00040003,0.00032063,0.00035914,0.00036674,0.00039317,0.00036773,0.00042375,0.0003768,0.0003988,0.00036679,0.00036488,0.00035363,0.00034154
DNK,0.000024618,0.000024635,0.000024589,0.000024511,0.000024441,0.00002439,0.000023209,0.000023896,0.000024764,0.000025631,0.000026231,0.000027854,0.000028057,0.000029408,0.000027715,0.000028658,0.000028443,0.000028404,0.000028059,0.000027854,0.000027563,0.000027363
GBR,0.05985,0.070116,0.070687,0.059936,0.055936,0.058564,0.056944,0.051394,0.053479,0.049282,0.045443,0.070572,0.066679,0.043178,0.029368,0.034933,0.027135,0.036116,0.037614,0.039333,0.034363,0.037947
EST,0.0033687,0.0031989,0.003542,0.0025427,0.0031955,0.0028264,0.0027969,0.0039012,0.0031744,0.0027827,0.002616,0.0036161,0.0031239,0.0035044,0.0027148,0.002113,0.0031726,0.0025516,0.003243,0.0025064,0.0031989,0.0034685
LVA,0.0045886,0.0043887,0.0048504,0.0035192,0.0043595,0.0038892,0.0038571,0.0053585,0.0044449,0.003902,0.0037183,0.0050003,0.0043149,0.0046803,0.0038313,0.0033044,0.004442,0.0037013,0.004595,0.0037384,0.0045295,0.0048469
DNK,0.0094929,0.010842,0.011179,0.0087938,0.0086356,0.010512,0.0090112,0.0082899,0.0077567,0.0078001,0.0072396,0.0087584,0.0088516,0.0067144,0.0066604,0.0053015,0.0057164,0.0060505,0.0055145,0.0060724,0.0055761,0.0065694
LTU,0.0084628,0.0085906,0.0083961,0.0064447,0.0063063,0.0081417,0.0067402,0.0080868,0.0066623,0.0076034,0.0066054,0.0091481,0.008049,0.0067518,0.0060885,0.005881,0.0066967,0.0065332,0.0069013,0.0062623,0.007054,0.0079836
