code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
DNK,0.00096055,0.001572,0.0013977,0.0013936,0.001238,0.00028083,0.0003567,0.00024222,0.000493,0.00020819,0.000433,0.00030443,0.00014121,0.00019433,0.00013245,0.00081229,-0.00019611,0.00052368,0.00019471,0.00027551
CAN,0.18765,0.16696,0.15936,0.15044,0.12927,0.12472,0.13715,0.062118,0.13264,0.083259,0.13268,0.096188,0.12622,0.067103,0.093896,0.027468,0.042187,0.065618,0.03202,0.036809
NOR,-0.00010475,-0.00006517,-0.000074804,-0.00010357,-0.000086502,-0.000088174,-0.000073842,-0.000066989,-0.000077557,-0.000085161,-0.000058925,-0.000022574,-0.000070795,-0.000072588,-0.00005417,-0.000058269,-0.00005114,-0.000082265,-0.00010112,-0.000078776
RUS,0.53975,0.46945,0.3962,0.093866,0.24118,0.2601,0.20463,0.16229,0.18514,0.27568,0.26098,0.18056,0.23471,0.22459,0.23908,0.25067,0.24928,0.27424,0.31512,0.26484
USA,1.187,0.88584,0.76148,0.54856,0.51408,0.44031,0.48743,0.61406,0.57539,0.46079,0.51923,0.6847,0.82005,0.77962,0.87202,0.80922,0.90622,0.6014,0.74647,0.67399
NOR,0.0086777,0.0092672,0.0086842,0.0072994,0.007311,0.0070385,0.0066887,0.0085706,0.0080655,0.0075152,0.0079546,0.0071052,0.0067782,0.0047416,0.0051632,0.0055887,0.0057843,0.0055564,0.0068419,0.0072428
FIN,0.012024,0.011439,0.011833,0.009414,0.0097949,0.00962,0.0095886,0.012671,0.012254,0.011628,0.013944,0.011844,0.01082,0.0092001,0.0083651,0.0080727,0.0079078,0.0073727,0.010217,0.0092948
SWE,0.019139,0.019666,0.01866,0.015445,0.015371,0.015676,0.01393,0.018565,0.017781,0.015088,0.016662,0.015284,0.013496,0.011265,0.012335,0.013634,0.014138,0.012054,0.015371,0.016576
ISL,0.0010725,0.0012181,0.0012442,0.0010938,0.0011731,0.0010131,0.00096474,0.0010112,0.0011434,0.0010618,0.0010943,0.00085156,0.00093564,0.00089408,0.00080563,0.00078404,0.00092692,0.00098668,0.0008581,0.0010691
DNK,0.00016527,0.00017777,0.00018076,0.00017765,0.00017443,0.00018257,0.0001767,0.00018466,0.00019469,0.00018478,0.00017056,0.00016509,0.00017254,0.00014827,0.00015089,0.00014641,0.00017947,0.00017545,0.00016472,0.00018762
GBR,0.067012,0.061781,0.049538,0.046309,0.048122,0.037632,0.029487,0.036965,0.044961,0.03418,0.038047,0.10095,0.087906,0.04171,-0.0083415,0.011815,-0.036784,0.053144,0.032403,0.036817
EST,0.0040519,0.0038206,0.0033886,0.0027381,0.0026334,0.002953,0.002704,0.0041149,0.0031621,0.0029303,0.0038288,0.0040277,0.0033643,0.0032183,0.0025172,0.0025953,0.0031368,0.0028873,0.0037711,0.003176
LVA,0.0041031,0.0038731,0.003436,0.0027811,0.002693,0.0030077,0.0027537,0.0041515,0.0032213,0.0030065,0.0039092,0.004104,0.0034663,0.0032718,0.002566,0.0026421,0.0031909,0.0029154,0.0038168,0.0032583
DNK,0.011943,0.012705,0.010798,0.009572,0.0085074,0.0091443,0.0094933,0.0094012,0.012358,0.011075,0.0086709,0.010052,0.008207,0.0068057,0.00693,0.0083709,0.0077045,0.0055502,0.0060604,0.009917
LTU,0.0081383,0.0074359,0.0063458,0.0037416,0.0041589,0.0057787,0.0039956,0.0055382,0.0060108,0.0051364,0.0068212,0.009175,0.0065475,0.0050344,0.004865,0.0033215,0.0063904,0.0048825,0.0064041,0.0063131
BLR,0.025515,0.020033,0.01636,0.010166,0.011282,0.014189,0.012116,0.013035,0.014133,0.014246,0.015201,0.018561,0.013057,0.010104,0.014405,0.0055636,0.017108,0.014705,0.018884,0.01838
IRL,0.0074956,0.0059127,0.0062814,0.0049754,0.0047753,0.0039774,0.0033799,0.0036881,0.0045652,0.0030377,0.0039988,0.0046147,0.0045508,0.0034176,0.0015283,0.002422,0.0015049,0.0043408,0.0043055,0.0041028
KAZ,0.10934,0.1188,0.11687,0.099371,0.090036,0.091312,0.078672,0.076997,0.062616,0.067037,0.066521,0.066019,0.067561,0.075463,0.063592,0.084798,0.079901,0.10247,0.088246,0.08078
DEU,0.11609,0.12386,0.1124,0.10816,0.075234,0.090669,0.10862,0.087221,0.12867,0.13342,0.097808,0.12892,0.099783,0.0955,0.09317,0.11737,0.085965,0.077607,0.093307,0.1193
POL,0.068881,0.063628,0.060524,0.048491,0.06116,0.068838,0.064047,0.068505,0.085057,0.049503,0.056968,0.077401,0.051736,0.042291,0.04779,0.048746,0.066087,0.031088,0.041447,0.051335
NLD,0.030917,0.035145,0.024962,0.019997,0.015489,0.012555,0.01821,0.017769,0.02009,0.025905,0.022191,0.045761,0.034123,0.022599,0.0046337,0.028936,-0.00071917,0.032236,0.030958,0.032596
CHN,1.2187,1.019,0.81015,0.82321,0.69022,0.77836,0.58085,0.71206,0.40751,0.72996,0.76878,0.88132,0.81719,0.56636,0.70619,1.1787,1.0957,0.90842,0.97168,1.2258
UKR,0.10988,0.093502,0.07005,0.039755,0.06418,0.07759,0.056647,0.063275,0.06212,0.086525,0.078434,0.076623,0.057201,0.058705,0.062636,0.063022,0.088299,0.087296,0.082437,0.07845
MNG,0.028739,0.028396,0.027066,0.022015,0.021149,0.026897,0.031299,0.042749,0.033067,0.028802,0.027483,0.032918,0.032134,0.036882,0.031808,0.02642,0.029671,0.030585,0.028794,0.028768
BEL,0.015304,0.017049,0.012239,0.0102,0.0079739,0.0066521,0.0087956,0.0087277,0.010135,0.012311,0.01085,0.022818,0.017416,0.011258,0.0021599,0.013094,-0.0010508,0.015424,0.014433,0.015193
