code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DNK,0.00082749,0.00082848,0.00082723,0.00082882,0.00081865,0.00081954,0.00081326,0.00089537,0.00090361,0.00091419,0.00092876,0.00094343,0.00094676,0.0010249,0.0010286,0.0010494,0.0010453,0.0010449,0.0010415,0.0010386,0.0010233,0.00096857
CAN,0.1458,0.14023,0.152,0.16007,0.1367,0.1278,0.12266,0.12546,0.13325,0.11246,0.12163,0.12777,0.12709,0.1129,0.11216,0.12809,0.12032,0.1173,0.13211,0.13793,0.13533,0.13818
NOR,0.000017917,0.000017798,0.000017764,0.000017861,0.000017905,0.000018057,0.000017497,0.000017657,0.000018816,0.000019176,0.000020373,0.000021089,0.000021302,0.0000201,0.000020054,0.000020679,0.000020726,0.000020709,0.000020655,0.000020651,0.00002062,0.000020589
RUS,0.4828,0.48195,0.44212,0.4103,0.36387,0.42164,0.34392,0.36319,0.51713,0.29985,0.34902,0.35129,0.3294,0.43961,0.34556,0.34579,0.4077,0.39896,0.38476,0.41472,0.42156,0.44767
USA,1.13,1.2253,1.1704,0.93793,0.88683,1.0981,0.87346,0.75858,0.74798,0.74438,0.80155,0.80079,0.94033,0.66878,0.67215,0.75739,0.70003,0.70012,0.68482,0.86472,0.84365,0.85922
NOR,0.010597,0.011126,0.012029,0.0095365,0.01007,0.0097751,0.0096894,0.011555,0.011232,0.0098174,0.0095712,0.010608,0.0095974,0.0092809,0.0078221,0.007419,0.0077034,0.0076957,0.0084337,0.0089595,0.0094011,0.0094012
FIN,0.014828,0.014366,0.01684,0.012848,0.014907,0.013102,0.014293,0.017143,0.0176,0.015838,0.015108,0.016748,0.01371,0.012337,0.013066,0.01106,0.011704,0.011355,0.015837,0.01193,0.014246,0.014304
SWE,0.019168,0.019418,0.021533,0.01634,0.018318,0.017589,0.016302,0.019584,0.018891,0.015583,0.014793,0.017904,0.017063,0.01622,0.015172,0.014252,0.01647,0.015026,0.016864,0.016429,0.018868,0.019447
ISL,0.00028667,0.00029568,0.00027962,0.00029726,0.00029591,0.00029463,0.0003176,0.00033871,0.0003415,0.00040003,0.00032063,0.00035914,0.00036674,0.00039317,0.00036773,0.00042375,0.0003768,0.0003988,0.00036679,0.00036488,0.00035363,0.00034154
DNK,0.000024618,0.000024635,0.000024589,0.000024511,0.000024441,0.00002439,0.000023209,0.000023896,0.000024764,0.000025631,0.000026231,0.000027854,0.000028057,0.000029408,0.000027715,0.000028658,0.000028443,0.000028404,0.000028059,0.000027854,0.000027563,0.000027363
GBR,0.059854,0.070121,0.070692,0.05994,0.05594,0.058568,0.056947,0.051397,0.053482,0.049285,0.045446,0.070577,0.066682,0.043181,0.029369,0.034935,0.027137,0.036119,0.037617,0.039336,0.034366,0.03795
EST,0.0033195,0.0031523,0.0034906,0.0025058,0.0031493,0.0027852,0.0027563,0.003845,0.0031289,0.0027425,0.0025784,0.0035635,0.0030787,0.0034535,0.0026756,0.0020835,0.0031269,0.002515,0.0031964,0.0024708,0.0031529,0.0034183
LVA,0.0046436,0.0044409,0.0049079,0.0035605,0.0044113,0.0039353,0.0039025,0.0054214,0.0044958,0.003947,0.0037604,0.0050593,0.0043656,0.0047373,0.0038752,0.0033374,0.0044933,0.0037423,0.0046472,0.0037782,0.0045811,0.0049032
DNK,0.0094893,0.010837,0.011174,0.00879,0.0086322,0.010507,0.0090074,0.0082873,0.0077549,0.0077971,0.0072366,0.0087548,0.0088474,0.0067123,0.0066574,0.0052999,0.0057145,0.0060483,0.0055129,0.0060705,0.0055754,0.0065677
LTU,0.0084715,0.0085989,0.0084053,0.0064512,0.0063145,0.0081491,0.0067474,0.0080969,0.0066704,0.0076105,0.0066121,0.0091574,0.008057,0.0067609,0.0060954,0.0058861,0.0067048,0.0065396,0.0069095,0.0062685,0.0070621,0.0079924
