code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
DNK,0.00096055,0.001572,0.0013977,0.0013936,0.001238,0.00028083,0.0003567,0.00024222,0.000493,0.00020819,0.000433,0.00030443,0.00014121,0.00019433,0.00013245,0.00081229,-0.00019611,0.00052368,0.00019471,0.00027551
CAN,0.18234,0.16264,0.15556,0.14715,0.12777,0.12239,0.13477,0.060364,0.12955,0.081594,0.13013,0.092684,0.12278,0.065642,0.093125,0.027119,0.041202,0.065803,0.03057,0.035242
NOR,-0.00010475,-0.00006517,-0.000074804,-0.00010357,-0.000086502,-0.000088174,-0.000073842,-0.000066989,-0.000077557,-0.000085161,-0.000058925,-0.000022574,-0.000070795,-0.000072588,-0.00005417,-0.000058269,-0.00005114,-0.000082265,-0.00010112,-0.000078776
RUS,0.54176,0.47169,0.39823,0.095931,0.24336,0.26234,0.20679,0.16404,0.18669,0.27721,0.26267,0.18236,0.23653,0.2266,0.24078,0.25265,0.25155,0.27648,0.31742,0.26704
USA,1.1923,0.89015,0.76527,0.55184,0.51558,0.44264,0.48981,0.61581,0.57847,0.46245,0.52178,0.6882,0.82348,0.78108,0.87279,0.80956,0.9072,0.60121,0.74792,0.67555
NOR,0.0086765,0.0092659,0.0086831,0.0072985,0.0073101,0.0070376,0.0066879,0.0085695,0.0080645,0.0075142,0.0079536,0.0071044,0.0067773,0.0047411,0.0051626,0.005588,0.0057836,0.0055558,0.0068411,0.0072419
FIN,0.012026,0.011441,0.011835,0.0094157,0.0097967,0.0096218,0.0095904,0.012673,0.012256,0.01163,0.013946,0.011846,0.010822,0.0092017,0.0083664,0.0080738,0.0079087,0.0073736,0.010218,0.0092959
SWE,0.01914,0.019668,0.018661,0.015446,0.015372,0.015677,0.013931,0.018566,0.017782,0.015089,0.016663,0.015284,0.013497,0.011266,0.012335,0.013634,0.014138,0.012055,0.015371,0.016577
ISL,0.0010725,0.0012181,0.0012442,0.0010938,0.0011731,0.0010131,0.00096474,0.0010112,0.0011434,0.0010618,0.0010943,0.00085156,0.00093564,0.00089408,0.00080563,0.00078404,0.00092692,0.00098668,0.0008581,0.0010691
DNK,0.00016527,0.00017777,0.00018076,0.00017765,0.00017443,0.00018257,0.0001767,0.00018466,0.00019469,0.00018478,0.00017056,0.00016509,0.00017254,0.00014827,0.00015089,0.00014641,0.00017947,0.00017545,0.00016472,0.00018762
GBR,0.067011,0.06178,0.049537,0.046309,0.048122,0.037632,0.029487,0.036965,0.044961,0.03418,0.038047,0.10095,0.087906,0.04171,-0.0083415,0.011815,-0.036784,0.053144,0.032403,0.036817
EST,0.0040353,0.003806,0.0033759,0.0027284,0.0026247,0.0029427,0.0026944,0.0040998,0.0031512,0.0029209,0.0038164,0.0040141,0.003355,0.0032078,0.0025078,0.0025874,0.0031252,0.0028756,0.0037563,0.0031652
LVA,0.0041034,0.0038733,0.0034362,0.0027813,0.0026931,0.0030079,0.0027538,0.0041517,0.0032215,0.0030066,0.0039094,0.0041042,0.0034664,0.003272,0.0025661,0.0026422,0.0031911,0.0029156,0.003817,0.0032585
DNK,0.011943,0.012705,0.010798,0.009572,0.0085074,0.0091443,0.0094933,0.0094012,0.012358,0.011075,0.0086709,0.010052,0.008207,0.0068057,0.00693,0.0083709,0.0077045,0.0055502,0.0060604,0.009917
LTU,0.0081383,0.0074359,0.0063458,0.0037416,0.0041589,0.0057787,0.0039956,0.0055382,0.0060108,0.0051364,0.0068212,0.009175,0.0065475,0.0050344,0.004865,0.0033215,0.0063904,0.0048825,0.0064041,0.0063131
BLR,0.025515,0.020033,0.01636,0.010166,0.011282,0.014189,0.012116,0.013035,0.014133,0.014246,0.015201,0.018561,0.013057,0.010104,0.014405,0.0055636,0.017108,0.014705,0.018884,0.01838
IRL,0.007496,0.0059129,0.0062817,0.0049756,0.0047754,0.0039775,0.0033799,0.0036882,0.0045653,0.0030377,0.0039989,0.0046148,0.0045509,0.0034176,0.0015283,0.002422,0.0015049,0.0043409,0.0043056,0.0041029
KAZ,0.1078,0.11698,0.11538,0.097912,0.088517,0.089939,0.077366,0.075799,0.061486,0.065851,0.065297,0.064819,0.066327,0.074104,0.062396,0.083287,0.078339,0.10074,0.086601,0.079286
DEU,0.11608,0.12384,0.11238,0.10814,0.075224,0.090655,0.10861,0.087207,0.12865,0.1334,0.097791,0.12891,0.09977,0.095486,0.09315,0.11735,0.085947,0.077595,0.093288,0.11929
POL,0.068881,0.063628,0.060524,0.048491,0.06116,0.068838,0.064047,0.068505,0.085057,0.049503,0.056968,0.077401,0.051736,0.042291,0.04779,0.048746,0.066087,0.031088,0.041447,0.051335
NLD,0.030917,0.035145,0.024962,0.019997,0.015489,0.012555,0.01821,0.017769,0.02009,0.025905,0.022191,0.045761,0.034123,0.022599,0.0046337,0.028936,-0.00071917,0.032236,0.030958,0.032596
