code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
DNK,-0.00021892,-0.00090078,-0.0010761,-0.000041618,-0.0013918,-0.00025432,0.00037932,-0.0017666,-0.0040116,-0.0034345,-0.0025744,-0.00012967,-0.00053821,0.00019774,-0.00023345,-0.0014383,-0.00055324,-0.00077099,-0.001448,-0.0008072,-0.00086438,-0.00010889
CAN,0.20007,0.22045,0.13063,0.20068,0.14562,0.24097,0.18429,0.11801,0.0094939,0.014186,0.14557,0.10867,0.081308,0.072549,0.028157,0.017648,0.13082,0.099848,0.19244,0.091486,0.043624,0.14111
NOR,-0.00036041,-0.00040658,-0.00042164,-0.00038957,-0.00045249,-0.00042558,-0.00041645,-0.00050243,-0.00058257,-0.00057117,-0.00045187,-0.00055568,-0.00057142,-0.0005588,-0.00060408,-0.00046582,-0.00057946,-0.00043943,-0.00046001,-0.00038334,-0.00041433,-0.00034282
RUS,0.35296,0.14316,0.16111,0.037566,-0.037003,0.10435,0.11692,-0.033399,0.037661,-0.053785,0.000087719,-0.040044,0.035016,0.064158,0.20774,0.16094,0.045745,0.10693,0.15691,0.089138,0.061057,0.20616
USA,1.0546,1.1837,1.0454,1.1765,1.07,1.0263,0.96448,0.76726,0.76419,0.66388,0.73475,0.80613,0.82421,0.86446,0.79008,0.75903,0.63767,0.69512,0.68585,0.94566,0.84849,0.61399
NOR,0.0079966,0.0050168,0.0083149,0.0081314,0.0028258,-0.00032716,0.0018132,0.015533,-0.00024933,-0.0096031,0.0032805,-0.0030755,-0.010683,0.0027987,-0.0072823,-0.0073435,-0.011105,0.0056957,0.0079178,0.010366,0.0064982,0.012851
FIN,0.0054305,0.0043974,0.0034213,0.005958,0.001976,0.0036827,0.0040786,0.0068417,-0.00099415,-0.011228,0.0037503,-0.002088,-0.013565,-0.0030859,-0.01357,-0.0048848,-0.01285,-0.00044819,0.0075045,0.0068126,0.0042991,0.006979
SWE,0.012978,0.010066,0.013908,0.013448,0.0056138,0.0017713,0.0055175,0.031124,-0.0004927,0.00040514,0.03561,0.015657,-0.0040951,0.017548,-0.0000036534,-0.00060961,-0.011597,0.016724,0.023696,0.029012,0.023687,0.032339
ISL,0.000079772,-0.00023724,0.00015278,0.00024761,-0.00089805,-0.0012365,-0.0005579,-0.00060227,-0.0011063,-0.00058216,-0.0015718,-0.00019805,0.00023381,0.00015276,-0.000067264,-0.0000039915,0.00032296,0.00034673,0.00028904,0.0002839,-0.00016024,0.00068106
DNK,0.000092509,0.000010739,0.00014515,0.00017204,-0.00014426,-0.00029351,-0.000083033,-0.000066044,-0.00016753,-0.000075366,-0.00049507,0.000032179,0.00016937,0.00013406,0.000067659,0.00010301,0.00015504,0.00017215,0.00018851,0.00019647,0.000062632,0.00028746
GBR,0.056575,0.048621,0.058352,0.04127,0.051373,0.055119,0.050005,0.045339,0.050361,0.060093,0.028102,0.051391,0.042795,0.039059,0.042374,0.039994,0.038174,0.048409,0.052971,0.05407,0.043616,0.063837
EST,0.0025475,0.0023219,0.0022959,0.0034793,0.0012498,0.0018639,0.0033544,0.0022265,0.001711,-0.000030282,0.0053064,0.0029437,-0.0014301,0.0029407,-0.0006274,-0.00014987,-0.0025836,0.00050875,0.0042766,0.0039894,0.0027007,0.0037833
LVA,0.0026219,0.0028221,0.0038987,0.0051956,0.0017853,0.0022515,0.0052936,0.0055788,0.003188,0.0038331,0.01215,0.0086277,0.002474,0.0076094,0.0030127,0.0014737,-0.00062314,0.0024613,0.0066844,0.0074381,0.0058942,0.0068953
DNK,0.010142,0.010679,0.0085967,0.01028,0.0094918,0.0088591,0.0093726,0.01162,0.0086065,0.012332,0.011061,0.010656,0.010638,0.0097296,0.010494,0.0091173,0.0083405,0.010678,0.010595,0.0095473,0.01015,0.010071
LTU,0.004091,0.0048618,0.0075096,0.0084765,0.0046587,0.0046769,0.0087686,0.013281,0.0065612,0.010501,0.022125,0.016997,0.0092738,0.013577,0.0089732,0.0099239,0.0089045,0.011877,0.015591,0.018087,0.017055,0.018161
