code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DNK,0.00054195,0.00054253,0.00054163,0.00054247,0.00053581,0.00053621,0.00053204,0.00058591,0.00059107,0.00059838,0.00060829,0.0006178,0.00061995,0.00067227,0.00067417,0.00068803,0.0006856,0.00068524,0.00068298,0.00068032,0.00066951,0.00063439
CAN,0.097384,0.094841,0.10356,0.10252,0.090365,0.086834,0.083673,0.083113,0.084227,0.07209,0.075649,0.082024,0.083544,0.073204,0.072018,0.079844,0.075552,0.072518,0.079737,0.08796,0.08743,0.089838
NOR,0.000015289,0.00001519,0.000015162,0.000015235,0.000015272,0.000015396,0.000014927,0.000015057,0.000016057,0.000016356,0.000017382,0.000017987,0.000018166,0.000017149,0.000017106,0.000017639,0.000017677,0.000017661,0.000017615,0.000017609,0.000017582,0.000017555
RUS,0.35953,0.34997,0.32392,0.27629,0.25945,0.29789,0.24988,0.25969,0.33942,0.21698,0.25195,0.25406,0.23957,0.29986,0.25154,0.25531,0.29079,0.28509,0.27885,0.30234,0.30955,0.33237
USA,0.85966,0.93356,0.89554,0.70929,0.66923,0.83518,0.66418,0.56748,0.56594,0.56075,0.59813,0.60052,0.71437,0.49899,0.5016,0.56657,0.52055,0.52444,0.50502,0.64357,0.62619,0.63844
NOR,0.008823,0.0092657,0.010013,0.0079274,0.0083856,0.0081145,0.0080441,0.0096361,0.0093084,0.0081515,0.0079464,0.0088124,0.0079763,0.0077174,0.0064877,0.0061604,0.0063799,0.0063763,0.0069858,0.0074275,0.0077939,0.0077934
FIN,0.012352,0.01196,0.013966,0.010699,0.012402,0.010899,0.011897,0.014268,0.014595,0.013201,0.012457,0.013941,0.011389,0.010243,0.010855,0.0092328,0.0097876,0.0094916,0.013169,0.0099298,0.01184,0.011897
SWE,0.016564,0.016784,0.018519,0.014032,0.015713,0.015213,0.013944,0.016552,0.015943,0.013163,0.012359,0.015124,0.014584,0.013902,0.012993,0.012151,0.014104,0.012894,0.014341,0.013936,0.016086,0.016649
ISL,0.00018432,0.0001898,0.00017974,0.00019044,0.00019015,0.00018872,0.00020225,0.0002155,0.00021788,0.00025535,0.00020601,0.00023106,0.00023668,0.00025314,0.00023697,0.00027354,0.00024386,0.00025887,0.00023893,0.00023796,0.00023086,0.00022319
DNK,0.000024618,0.000024635,0.000024589,0.000024511,0.000024441,0.00002439,0.000023209,0.000023896,0.000024764,0.000025631,0.000026231,0.000027854,0.000028057,0.000029408,0.000027715,0.000028658,0.000028443,0.000028404,0.000028059,0.000027854,0.000027563,0.000027363
