code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
DNK,0.00062528,0.0010676,0.00096906,0.00098755,0.00087879,0.000071371,0.00012564,0.0000077508,0.00019409,-0.000012827,0.00016985,0.000082732,-0.000032858,-0.0000068556,-0.0000759,0.00037777,-0.00024311,0.00023516,-0.000019004,0.000053918
CAN,0.12596,0.11125,0.10483,0.10155,0.080799,0.080713,0.089721,0.062651,0.08568,0.065235,0.086068,0.07019,0.083211,0.048105,0.057179,0.026309,0.038151,0.035835,0.038786,0.036317
NOR,-0.000084731,-0.000052605,-0.000061795,-0.000086066,-0.000073953,-0.000073502,-0.000060729,-0.000055947,-0.000064644,-0.000071917,-0.000050693,-0.0000193,-0.000059738,-0.000059973,-0.000046663,-0.000047916,-0.000044238,-0.000071281,-0.000085858,-0.000068595
RUS,0.40013,0.33823,0.28487,0.071263,0.16542,0.17863,0.14477,0.13195,0.14329,0.19684,0.17685,0.14453,0.15763,0.16452,0.16682,0.18065,0.17687,0.21082,0.23516,0.20056
USA,0.89552,0.64336,0.53584,0.37033,0.33153,0.3007,0.33429,0.42775,0.40463,0.31843,0.34611,0.48748,0.612,0.57501,0.6584,0.60532,0.67808,0.43766,0.55794,0.50278
NOR,0.0073866,0.0078858,0.0073613,0.006219,0.006218,0.005982,0.0056858,0.007262,0.0068065,0.0063636,0.0067184,0.0059965,0.0057224,0.0040063,0.0043305,0.0046925,0.0048614,0.0046629,0.0057263,0.0060714
FIN,0.010317,0.0098172,0.010088,0.0080472,0.0083534,0.0082268,0.0081777,0.010858,0.010407,0.0098786,0.011838,0.010111,0.0092362,0.0078716,0.0071258,0.0069329,0.006821,0.0063442,0.0087755,0.0079751
SWE,0.016935,0.017423,0.016345,0.013613,0.013443,0.013841,0.012175,0.016117,0.015465,0.013116,0.014466,0.013195,0.011678,0.0097282,0.010615,0.011762,0.012156,0.010335,0.013068,0.01415
ISL,0.00075254,0.00086815,0.00087998,0.00077276,0.00083321,0.00071121,0.00067891,0.00071729,0.00081422,0.00075349,0.00077566,0.00060202,0.00066262,0.00063519,0.00057051,0.00055617,0.0006621,0.00069973,0.00061114,0.00076454
DNK,0.00016527,0.00017777,0.00018076,0.00017765,0.00017443,0.00018257,0.0001767,0.00018466,0.00019469,0.00018478,0.00017056,0.00016509,0.00017254,0.00014827,0.00015089,0.00014641,0.00017947,0.00017545,0.00016472,0.00018762
GBR,0.049371,0.045623,0.036398,0.034115,0.035516,0.027709,0.021724,0.02738,0.033599,0.025486,0.028423,0.076514,0.066846,0.031512,-0.0066672,0.0087853,-0.028689,0.040629,0.024546,0.028017
EST,0.0038956,0.0036715,0.0032559,0.0026302,0.0025286,0.0028364,0.0025969,0.003952,0.0030348,0.0028107,0.0036719,0.0038627,0.0032218,0.0030844,0.0024142,0.0024849,0.0030072,0.0027696,0.0036157,0.0030414
